調教師,race_pace,件数,勝率,複勝率
斉藤崇史,スロー上がり,271,0.12903225806451613,0.3548387096774194
蛯名正義,スロー上がり,31,0.16129032258064516,0.3548387096774194
松田国英,スロー上がり,145,0.08904109589041095,0.3493150684931507
萩原清,スロー上がり,120,0.12396694214876033,0.34710743801652894
古賀慎明,スロー上がり,180,0.0918918918918919,0.34594594594594597
上村洋行,スロー上がり,84,0.15476190476190477,0.34523809523809523
西村真幸,スロー上がり,207,0.10377358490566038,0.3443396226415094
安田隆行,スロー上がり,197,0.13725490196078433,0.3382352941176471
安田翔伍,スロー上がり,104,0.09615384615384616,0.33653846153846156
池添学,スロー上がり,242,0.12601626016260162,0.3333333333333333
大久保龍,スロー上がり,204,0.08796296296296297,0.3333333333333333
中竹和也,スロー上がり,163,0.09523809523809523,0.3333333333333333
石坂公一,スロー上がり,100,0.12745098039215685,0.3333333333333333
手塚貴久,スロー上がり,304,0.11635220125786164,0.330188679245283
石坂正,スロー上がり,164,0.11976047904191617,0.32934131736526945
奥村武,スロー上がり,162,0.14285714285714285,0.3273809523809524
庄野靖志,スロー上がり,156,0.11464968152866242,0.3248407643312102
渡辺薫彦,スロー上がり,148,0.08860759493670886,0.3227848101265823
橋口慎介,スロー上がり,183,0.12365591397849462,0.3225806451612903
大竹正博,スロー上がり,175,0.15469613259668508,0.30939226519337015
宮本博,スロー上がり,161,0.07317073170731707,0.3048780487804878
鮫島一歩,スロー上がり,242,0.08267716535433071,0.3031496062992126
和田正一,スロー上がり,126,0.12121212121212122,0.30303030303030304
矢作芳人,スロー上がり,512,0.11469534050179211,0.30286738351254483
岡田稲男,スロー上がり,138,0.1079136690647482,0.302158273381295
角田晃一,スロー上がり,115,0.11206896551724138,0.3017241379310345
黒岩陽一,スロー上がり,137,0.13286713286713286,0.3006993006993007
松永幹夫,スロー上がり,257,0.10384615384615385,0.3
栗田徹,スロー上がり,135,0.14074074074074075,0.2962962962962963
昆貢,スロー上がり,170,0.09659090909090909,0.29545454545454547
加藤征弘,スロー上がり,152,0.09740259740259741,0.2922077922077922
池上昌和,スロー上がり,132,0.0948905109489051,0.291970802919708
西浦勝一,スロー上がり,96,0.125,0.2916666666666667
松永昌博,スロー上がり,95,0.08333333333333333,0.2916666666666667
佐々木晶,スロー上がり,202,0.08780487804878048,0.28780487804878047
奥村豊,スロー上がり,140,0.1048951048951049,0.2867132867132867
尾関知人,スロー上がり,273,0.12318840579710146,0.286231884057971
久保田貴,スロー上がり,182,0.11052631578947368,0.28421052631578947
武英智,スロー上がり,106,0.07547169811320754,0.2830188679245283
牧光二,スロー上がり,138,0.06206896551724138,0.2827586206896552
高橋文雅,スロー上がり,133,0.07913669064748201,0.2805755395683453
鹿戸雄一,スロー上がり,392,0.1026252983293556,0.27923627684964203
伊藤圭三,スロー上がり,78,0.06329113924050633,0.27848101265822783
吉村圭司,スロー上がり,174,0.0898876404494382,0.2752808988764045
小島太,スロー上がり,49,0.0392156862745098,0.27450980392156865
戸田博文,スロー上がり,359,0.06060606060606061,0.2727272727272727
林徹,スロー上がり,100,0.13592233009708737,0.27184466019417475
笹田和秀,スロー上がり,168,0.06896551724137931,0.27011494252873564
長谷川浩,スロー上がり,63,0.1111111111111111,0.2698412698412698
武井亮,スロー上がり,119,0.05042016806722689,0.2689075630252101
五十嵐忠,スロー上がり,86,0.13953488372093023,0.26744186046511625
鈴木孝志,スロー上がり,99,0.08,0.26
宮徹,スロー上がり,155,0.02531645569620253,0.25949367088607594
吉田直弘,スロー上がり,116,0.05172413793103448,0.25862068965517243
中尾秀正,スロー上がり,123,0.07258064516129033,0.25806451612903225
田中剛,スロー上がり,93,0.10752688172043011,0.25806451612903225
四位洋文,スロー上がり,65,0.045454545454545456,0.25757575757575757
音無秀孝,スロー上がり,302,0.102803738317757,0.2554517133956386
高橋義忠,スロー上がり,138,0.07801418439716312,0.2553191489361702
野中賢二,スロー上がり,109,0.07272727272727272,0.2545454545454545
河内洋,スロー上がり,181,0.07027027027027027,0.25405405405405407
栗田博憲,スロー上がり,62,0.047619047619047616,0.25396825396825395
