場所,芝・ダ,距離,馬場状態,レース数,勝ち時計平均秒,勝ち上り3F平均,RPCI平均,平均1Fタイム,平均速度,Ave_3F平均,勝ち馬4角率平均,勝ち馬PCI平均,三着内上り3F平均,三着内4角率平均,三着内先行率_4角35以内,三着内差し追込率_4角60超,標準ペース判定,好走ゾーン,勝ち時計平均
中京,芝,1600,良,173,94.11445086705201,34.31040462427745,52.39132947976879,11.765549132947978,61.209479768786125,35.88242774566474,0.35838385282026897,54.63815028901734,34.39692307692308,0.38953402900518286,51.73076923076923,20.192307692307693,標準〜やや上がり,中間/混合,1:34.1
中京,芝,1600,重,16,95.75,34.9625,51.71875,11.969375,60.165625,36.4725,0.3880809294871795,54.3625,35.239583333333336,0.36633279914529915,50.0,20.833333333333336,標準〜やや上がり,中間/混合,1:35.8
中京,芝,2000,不,3,127.23333333333335,36.46666666666667,55.53333333333333,12.723333333333334,56.596666666666664,38.903333333333336,0.4503968253968254,56.96666666666667,36.62222222222223,0.4689153439153439,44.44444444444444,33.33333333333333,スロー上がり,中間/混合,2:07.2
中京,芝,2000,稍,27,121.61851851851851,35.07037037037037,54.26296296296296,12.161851851851852,59.20518518518519,37.092222222222226,0.33484253884580684,55.851851851851855,35.13950617283951,0.3666381921556214,55.55555555555556,18.51851851851852,スロー上がり,前残り・先行優勢,2:01.6
中京,芝,2000,良,221,120.6398190045249,34.56063348416289,54.705882352941174,12.063981900452488,59.68918552036199,36.891221719457015,0.38667360461677736,56.80542986425339,34.70361445783133,0.394126650453059,51.204819277108435,23.64457831325301,スロー上がり,中間/混合,2:00.6
中京,芝,2000,重,18,122.4888888888889,35.43333333333333,53.766666666666666,12.24888888888889,58.787222222222226,37.30944444444444,0.2768743602076935,55.38333333333333,35.54259259259259,0.356233170122059,61.111111111111114,18.51851851851852,標準〜やや上がり,前残り・先行優勢,2:02.5
中京,芝,2200,不,6,139.65,37.06666666666667,52.23333333333333,12.698333333333332,56.715,38.47,0.5223484848484848,53.916666666666664,37.47222222222222,0.42904040404040406,33.33333333333333,27.77777777777778,標準〜やや上がり,中間/混合,2:19.7
中京,芝,2200,稍,22,134.93636363636364,35.25909090909091,54.45,12.266818181818183,58.70227272727273,37.38090909090909,0.3594503980867617,56.1,35.333333333333336,0.3980929300448017,50.0,22.727272727272727,スロー上がり,中間/混合,2:14.9
中京,芝,2200,良,112,133.22589285714284,34.89196428571429,53.61071428571428,12.11169642857143,59.45401785714286,36.87616071428572,0.40233578134050824,55.753571428571426,35.0452380952381,0.4211021597838825,44.94047619047619,22.61904761904762,標準〜やや上がり,中間/混合,2:13.2
中京,芝,2200,重,12,135.46666666666667,35.86666666666667,52.19166666666666,12.315,58.47333333333333,37.35166666666667,0.4253388972138972,54.19166666666666,36.15833333333333,0.4505518786768786,33.33333333333333,19.444444444444446,標準〜やや上がり,中間/混合,2:15.5
